"# surveyed on July 9, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,Dead,Height,1 shoot length,2 shoot length,3 shoot length,4 shoot length,5 shoot length,6 shoot length,7 shoot length,8 shoot length,9 shoot length,10 shoot length,11 shoot length,12 shoot length,13 shoot length,14 shoot length,15 shoot length,16 shoot length,17 shoot length,18 shoot length,19 shoot length,20 shoot length,21 shoot length,22 shoot length
2,none,6,37,0,3.5,3.5,,,,,,,,,,,,,,,,,,,,,
2,none,6,38,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,39,0,4.5,1,2.5,2,2.5,,,,,,,,,,,,,,,,,,
2,none,6,40,0,6,6,3,,,,,,,,,,,,,,,,,,,,
2,aphid,12,41,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,42,0,5,3.5,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,43,0,9,1.5,0.5,2,0.5,0.5,,,,,,,,,,,,,,,,,
2,aphid,12,44,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,45,0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,
2,none,12,46,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,47,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,48,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,49,0,10,5,3,4.5,4,,,,,,,,,,,,,,,,,,
2,none,12,50,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,51,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,52,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,53,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,54,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,55,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,56,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,57,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,12,58,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,59,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,12,60,0,10,10,7.5,,,,,,,,,,,,,,,,,,,,
3,aphid,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,2,0,4,4,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,8,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,10,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,11,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,12,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,13,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,14,0,4,4,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,15,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,16,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,17,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,18,0,5,5,,,,,,,,,,,,,,,,,,,,,
3,aphid,1,19,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,1,20,0,4,2,1.5,2,2.5,,,,,,,,,,,,,,,,,,
3,aphid,6,21,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,6,22,0,3.5,3.5,3,,,,,,,,,,,,,,,,,,,,
3,aphid,6,23,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,6,24,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,25,0,2,0.5,1,1,,,,,,,,,,,,,,,,,,,
3,none,6,26,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,27,1,,,,,,,,,,,,,,,,,,,,,,,
