"","Year","Block","Aphid.Treatment","Ant.Mound.Dist","Genotype","Plant_Position","plant.id","Dead","leaf_count","Height","mature.shoot.count","immature.shoot.count","all.shoot.count","mature.shoot.total.length","mature.shoot.avg.length","leaf_WC","leaf_percent.browned","leaf_trichome.density","all.shoot.total.length","all.shoot.avg.length"
"126",2012,"3","none",1,"G",6,"3.6",0,0,7,0,1,1,0,0,NA,NA,NA,NA,NA
"127",2012,"3","aphid",1,"S",7,"3.7",0,9,59,1,0,1,13.5,0.75,NA,NA,NA,NA,NA
"128",2012,"3","none",1,"S",8,"3.8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2012,"3","aphid",1,"I",9,"3.9",0,0,20,0,9,9,0,0,NA,NA,NA,NA,NA
"130",2012,"3","aphid",1,"J",10,"3.10",0,5,52,2,0,2,9.5,0.527777777777778,NA,NA,NA,NA,NA
"131",2012,"3","none",1,"I",11,"3.11",0,0,5,0,1,1,0,0,NA,NA,NA,NA,NA
"132",2012,"3","aphid",1,"W",12,"3.12",0,17,52.5,5,0,5,24,1.33333333333333,1.68421052631579,0,11,NA,NA
"133",2012,"3","aphid",1,"F",13,"3.13",0,7,22,2,0,2,8,0.444444444444444,1.95,0.5,4,NA,NA
"134",2012,"3","none",1,"W",14,"3.14",0,15,51,3,0,3,15,0.833333333333333,1.82926829268293,1,55,NA,NA
"135",2012,"3","aphid",1,"U",15,"3.15",0,5,52,3,0,3,15.8,0.877777777777778,NA,NA,NA,NA,NA
"136",2012,"3","none",1,"F",16,"3.16",0,5,28,2,0,2,9.1,0.505555555555556,NA,NA,NA,NA,NA
"137",2012,"3","none",1,"U",17,"3.17",0,5,51.5,3,0,3,20.5,1.13888888888889,NA,NA,NA,NA,NA
"138",2012,"3","none",1,"J",18,"3.18",0,9,40,2,0,2,21.3,1.18333333333333,2.88235294117647,0,39,NA,NA
"139",2012,"3","aphid",1,"L",19,"3.19",0,9,46,2,0,2,8,0.444444444444444,2.16901408450704,0.5,1,NA,NA
"140",2012,"3","none",1,"L",20,"3.20",0,14,26,5,0,5,22.5,1.25,NA,NA,NA,NA,NA
"141",2012,"3","aphid",6,"X",21,"3.21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2012,"3","none",6,"X",22,"3.22",0,6,56,1,0,1,13,0.722222222222222,2.46666666666667,1,56,NA,NA
"143",2012,"3","aphid",6,"T",23,"3.23",0,5,56,2,1,3,19,1.05555555555556,NA,NA,NA,NA,NA
"144",2012,"3","none",6,"T",24,"3.24",0,3,56,2,3,5,20.5,1.13888888888889,NA,NA,NA,NA,NA
"145",2012,"3","aphid",6,"G",25,"3.25",0,8,32,4,0,4,14.5,0.805555555555556,NA,NA,NA,NA,NA
"146",2012,"3","none",6,"G",26,"3.26",0,2,8,1,3,4,3,0.166666666666667,NA,NA,NA,NA,NA
"147",2012,"3","aphid",6,"S",27,"3.27",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2012,"3","none",6,"S",28,"3.28",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2012,"3","aphid",6,"I",29,"3.29",0,11,24,3,0,3,15.5,0.861111111111111,1.84615384615385,0.5,0,NA,NA
"150",2012,"3","none",6,"I",30,"3.30",0,0,4,0,4,4,0,0,NA,NA,NA,NA,NA
"151",2012,"3","aphid",6,"W",31,"3.31",0,14,54,3,0,3,18.7,1.03888888888889,1.65753424657534,0.5,7,NA,NA
"152",2012,"3","aphid",6,"U",32,"3.32",0,4,49,1,0,1,11.2,0.622222222222222,3.32258064516129,0,29,NA,NA
