"","Year","Block","Wind.Exposure","Genotype","plant_ID","Dead","Height","all.shoot.count","all.shoot.avg.length","leaf_trichome.density","leaf_WC","SLA","leaf_area.mm2","leaf_C_N","leaf_C.mg","leaf_N.mg","leaf_C.perc","leaf_N.perc","trait.PC1","trait.PC2","root_N.perc","root_N.mg","root_C.perc","root_C.mg","root_CN"
"96",2012,"5","Unexposed","L","5UL6",0,32,10,1.53125,16,2.08333333333333,NA,NA,NA,NA,NA,NA,NA,2.45932469746536,0.948806932995203,NA,NA,NA,NA,NA
"97",2012,"5","Unexposed","S","5US7",0,34,3,1.125,54,1.97560975609756,NA,NA,NA,NA,NA,NA,NA,0.450848326029467,1.12344198956754,NA,NA,NA,NA,NA
"98",2012,"5","Unexposed","T","5UT8",0,37.5,4,1.40625,10,2.21739130434783,NA,NA,NA,NA,NA,NA,NA,1.15490160857833,-0.0296273525127992,NA,NA,NA,NA,NA
"99",2012,"5","Unexposed","I","5UI9",0,27,2,1.25,1,1.5,NA,NA,NA,NA,NA,NA,NA,-0.209483505517266,-1.42057393284282,NA,NA,NA,NA,NA
"100",2012,"5","Unexposed","G","5UG10",0,24,4,0.59375,0,1.87878787878788,NA,NA,NA,NA,NA,NA,NA,-1.15624997783463,-0.43475599940433,NA,NA,NA,NA,NA
"101",2012,"6","Exposed","W","6EW1",0,30,5,1.0625,41,1.40384615384615,NA,NA,NA,NA,NA,NA,NA,0.587672959909918,0.223438343906619,NA,NA,NA,NA,NA
"102",2012,"6","Exposed","F","6EF2",0,28,6,1,2,1.7037037037037,NA,NA,NA,NA,NA,NA,NA,0.33350115519479,-0.490828525577157,NA,NA,NA,NA,NA
"103",2012,"6","Exposed","L","6EL3",0,11,5,0.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99426753484446,0.769036752966278,NA,NA,NA,NA,NA
"104",2012,"6","Exposed","J","6EJ4",0,5,3,0.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.37679305120753,0.55812874877167,NA,NA,NA,NA,NA
"105",2012,"6","Exposed","U","6EU5",0,6,3,0.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.98255095080967,0.438719225672726,NA,NA,NA,NA,NA
"106",2012,"6","Exposed","X","6EX6",0,30.5,5,0.84375,69,1.90322580645161,NA,NA,NA,NA,NA,NA,NA,0.281138185661985,1.9514467331123,NA,NA,NA,NA,NA
"107",2012,"6","Exposed","T","6ET7",0,24.5,4,0.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.923611876058424,0.214390506659554,NA,NA,NA,NA,NA
"108",2012,"6","Exposed","S","6ES8",0,30.5,3,0.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.912541474417486,-0.0531102711743516,NA,NA,NA,NA,NA
"109",2012,"6","Exposed","I","6EI9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"110",2012,"6","Exposed","G","6EG10",0,11,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9328524039421,0.13719278820879,NA,NA,NA,NA,NA
"111",2012,"6","Unexposed","F","6UF1",0,25,5,0.9375,8,1.59459459459459,NA,NA,NA,NA,NA,NA,NA,-0.165613062707328,-0.509420402018293,NA,NA,NA,NA,NA
"112",2012,"6","Unexposed","W","6UW2",0,38,7,0.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27096498961699,0.523609419590862,NA,NA,NA,NA,NA
"113",2012,"6","Unexposed","U","6UU3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"114",2012,"6","Unexposed","J","6UJ4",0,28.5,8,1.1875,4,1.83333333333333,NA,NA,NA,NA,NA,NA,NA,1.14641102576248,0.0140189538526203,NA,NA,NA,NA,NA
"115",2012,"6","Unexposed","L","6UL5",0,32.5,4,1,49,1.89655172413793,NA,NA,NA,NA,NA,NA,NA,0.358756002891998,1.03296973227025,NA,NA,NA,NA,NA
"116",2012,"6","Unexposed","T","6UT6",0,42,1,0.6875,0,1.90540540540541,NA,NA,NA,NA,NA,NA,NA,-0.47050854470482,-1.24477279820025,NA,NA,NA,NA,NA
"117",2012,"6","Unexposed","X","6UX7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"118",2012,"6","Unexposed","S","6US8",0,26,2,1.0625,1,3.3,NA,NA,NA,NA,NA,NA,NA,-0.950571414742906,1.268748279717,NA,NA,NA,NA,NA
"119",2012,"6","Unexposed","I","6UI9",0,27,3,1.09375,21,1.52777777777778,NA,NA,NA,NA,NA,NA,NA,-0.154011561365281,-0.515698836374607,NA,NA,NA,NA,NA
"120",2012,"6","Unexposed","G","6UG10",0,28,6,0.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.364071853903813,0.671671522478444,NA,NA,NA,NA,NA
"121",2012,"7","Exposed","W","7EW1",0,35.5,2,1,23,1.71428571428571,NA,NA,NA,NA,NA,NA,NA,0.00532015557631121,-0.490798747571033,NA,NA,NA,NA,NA
"122",2012,"7","Exposed","F","7EF2",0,20.5,3,0.6875,81,2,NA,NA,NA,NA,NA,NA,NA,-1.10643428086285,2.46972696504528,NA,NA,NA,NA,NA
