"","Date_rel","Block","Genotype","Ant.mound.dist","Aphid.treatment","plant_ID","X","Aphis.growth.rate"
"189",14,"2","U",6,"aphid","2_6_aphid_U_34","394",-0.2299197017763
"190",14,"2","U",12,"aphid","2_12_aphid_U_58","418",-0.2299197017763
"191",14,"2","W",1,"aphid","2_1_aphid_W_1","361",0.048067462374459
"192",14,"2","W",6,"aphid","2_6_aphid_W_25","385",-0.2299197017763
"193",14,"2","W",12,"aphid","2_12_aphid_W_51","411",0.198042051588556
"194",14,"2","X",1,"aphid","2_1_aphid_X_2","362",-0.2299197017763
"195",14,"2","X",6,"aphid","2_6_aphid_X_21","381",-0.2299197017763
"196",14,"2","X",12,"aphid","2_12_aphid_X_41","401",0.0260459366848507
"197",14,"3","F",1,"aphid","3_1_aphid_F_13","433",0.0318776501877442
"198",14,"3","F",6,"aphid","3_6_aphid_F_34","454",-0.2299197017763
"199",14,"3","F",12,"aphid","3_12_aphid_F_50","470",-0.00921978873393873
"200",14,"3","G",1,"aphid","3_1_aphid_G_5","425",-0.2299197017763
"201",14,"3","G",6,"aphid","3_6_aphid_G_25","445",-0.2299197017763
"202",14,"3","G",12,"aphid","3_12_aphid_G_44","464",-0.2299197017763
"203",14,"3","I",1,"aphid","3_1_aphid_I_9","429",0.211657791560602
"204",14,"3","I",6,"aphid","3_6_aphid_I_29","449",-0.2299197017763
"205",14,"3","I",12,"aphid","3_12_aphid_I_45","465",-0.2299197017763
"206",14,"3","J",1,"aphid","3_1_aphid_J_10","430",-0.2299197017763
"207",14,"3","J",6,"aphid","3_6_aphid_J_33","453",-0.386864314443173
"208",14,"3","J",12,"aphid","3_12_aphid_J_56","476",-0.2299197017763
"209",14,"3","L",1,"aphid","3_1_aphid_L_19","439",-0.0660890745640161
"210",14,"3","L",6,"aphid","3_6_aphid_L_37","457",-0.2299197017763
"211",14,"3","L",12,"aphid","3_12_aphid_L_59","479",-0.2299197017763
"212",14,"3","S",1,"aphid","3_1_aphid_S_7","427",-0.168379285191664
"213",14,NA,NA,NA,NA,"3_6_aphid_S_27",NA,NA
"214",14,"3","S",12,"aphid","3_12_aphid_S_43","463",-0.166164401400812
"215",14,"3","T",1,"aphid","3_1_aphid_T_3","423",-0.2299197017763
"216",14,"3","T",6,"aphid","3_6_aphid_T_23","443",-0.2299197017763
"217",14,"3","T",12,"aphid","3_12_aphid_T_41","461",-0.0158893764443177
"218",14,"3","U",1,"aphid","3_1_aphid_U_15","435",0.265185427195089
"219",14,"3","U",6,"aphid","3_6_aphid_U_32","452",0.112636765766324
"220",14,"3","U",12,"aphid","3_12_aphid_U_51","471",-0.041097438921683
"221",14,"3","W",1,"aphid","3_1_aphid_W_12","432",-0.130898675982022
"222",14,"3","W",6,"aphid","3_6_aphid_W_31","451",-0.2299197017763
"223",14,"3","W",12,"aphid","3_12_aphid_W_54","474",0.0433123227125351
