Plant Position within Willow Garden for cutting,Genotype,Plants Greenhouse Letter,Plant Greenhouse Number,Cutting Length,Random Number,Experiment,Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,
472,G,H,2,60,0.590675184,Field Ant,4,none,1,6,
113,T,E,3,60,0.602666159,Field Ant,4,aphid,1,7,
113,T,D,4,60,0.610848503,Field Ant,4,none,1,8,
257,F,E,5,60,0.643596051,Field Ant,4,aphid,1,9,
257,F,G,1,60,0.647719453,Field Ant,4,none,1,10,
304,W,C,5,60,0.688411816,Field Ant,4,aphid,1,11,
294,U,G,1,60,0.708535,Field Ant,4,aphid,1,12,
23,S,G,1,60,0.713784976,Field Ant,4,aphid,1,13,
41,J,C,7,60,0.71581544,Field Ant,4,aphid,1,14,
294,U,B,4,60,0.71618573,Field Ant,4,none,1,15,
41,J,F,2,60,0.716276804,Field Ant,4,none,1,16,
304,W,C,7,60,0.719166018,Field Ant,4,none,1,17,
530,L,E,7,60,0.729550633,Field Ant,4,aphid,1,18,
530,L,A,5,60,0.73895663,Field Ant,4,none,1,19,
23,S,E,1,60,0.779657085,Field Ant,4,none,1,20,
479,I,D,4,60,0.591555584,Field Ant,4,aphid,6,21,
479,I,E,5,60,0.620143861,Field Ant,4,none,6,22,
487,X,G,3,60,0.639903039,Field Ant,4,aphid,6,23,
487,X,E,1,60,0.640883983,Field Ant,4,none,6,24,
257,F,C,3,60,0.689880372,Field Ant,4,aphid,6,25,
257,F,H,4,60,0.691290491,Field Ant,4,none,6,26,
294,U,B,6,60,0.718307623,Field Ant,4,aphid,6,27,
472,G,I,1,60,0.719381231,Field Ant,4,aphid,6,28,
402,W,H,6,60,0.726769532,Field Ant,4,aphid,6,29,
304,W,G,5,60,0.729835959,Field Ant,4,none,6,30,
294,U,B,2,60,0.737247784,Field Ant,4,none,6,31,
113,T,A,7,60,0.758979004,Field Ant,4,aphid,6,32,
530,L,B,6,60,0.761533967,Field Ant,4,aphid,6,33,
472,G,D,2,60,0.76585447,Field Ant,4,none,6,34,
113,T,A,3,60,0.768649779,Field Ant,4,none,6,35,
530,L,D,6,60,0.773896184,Field Ant,4,none,6,36,
41,J,F,4,60,0.775695441,Field Ant,4,aphid,6,37,
41,J,C,3,60,0.803597956,Field Ant,4,none,6,38,
