"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_67","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum","Probable","NULL","Plant Pathogen-Undefined Endophyte-Wood Saprotroph","Probable"
"OTU_236","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","Clitopilus sp","Probable","Agaricoid","Undefined Saprotroph","Probable"
"OTU_259","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_139","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_115","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_1424","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp olrim407","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_137","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_835","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_6","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unidentified","unidentified","Agaricales sp","-","-","-","-"
"OTU_94","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Cryptococcus","Cryptococcus sp","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_262","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Cadophora","Cadophora finlandica","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
"OTU_211","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_214","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_86","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Cryptosporiopsis","Cryptosporiopsis brunnea","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_566","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_593","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria","Chaetosphaeria pygmaea","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_462","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Phaeoisaria","Phaeoisaria clematidis","Probable","NULL","Undefined Saprotroph-Wood Saprotroph","Probable"
"OTU_452","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_280","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","unidentified","unidentified","Filobasidiales sp","-","-","-","-"
"OTU_247","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium polonicum","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_70","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_311","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces bicolor","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_929","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_436","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","unidentified","Diaporthaceae sp","-","-","-","-"
"OTU_374","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium coprobium","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_76","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella hyalina","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_155","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_875","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_194","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_230","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_148","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_198","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_335","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus fuscescens","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_281","Fungi","Ascomycota","Leotiomycetes","unidentified","unidentified","unidentified","Leotiomycetes sp","-","-","-","-"
"OTU_205","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_519","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unidentified","unidentified","Chaetothyriales sp","-","-","-","-"
"OTU_528","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_671","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_1003","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Phoma","Phoma saxea","Highly Probable","NULL","Plant Pathogen-Wood Saprotroph","Highly Probable"
"OTU_441","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Mycoarthris","Mycoarthris corallina","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_119","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus albidus","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_361","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Mollisia","Mollisia dextrinospora","Probable","Dark Septate Endophyte","Undefined Endophyte","Probable"
"OTU_159","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Tetracladium","Tetracladium maxilliforme","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_270","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Phoma","Phoma sp","Highly Probable","NULL","Plant Pathogen-Wood Saprotroph","Highly Probable"
"OTU_120","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp WD35C","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1970","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp WD35C","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_330","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","unidentified","Pleosporales sp","-","-","-","-"
"OTU_490","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_1671","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1030","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius parvannulatus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_104","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_106","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_187","Fungi","Chytridiomycota","Chytridiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium brassicae","Probable","NULL","Parasite","Probable"
"OTU_752","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","Articulospora sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1182","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora chaetospira","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_232","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_491","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Calycina","Calycina sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_165","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_1709","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_182","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_1503","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","unidentified","Cortinariaceae sp","-","-","-","-"
"OTU_69","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_652","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_277","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Rhizoscyphus","Rhizoscyphus ericae","Highly Probable","Dark Septate Endophyte","Ericoid Mycorrhizal","Highly Probable"
"OTU_81","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_643","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis angularis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1757","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_651","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium pinghaense","Probable","NULL","Animal Pathogen","Probable"
"OTU_655","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Rhizoscyphus","Rhizoscyphus sp","Highly Probable","Dark Septate Endophyte","Root Associated Biotroph","Highly Probable"
"OTU_427","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_389","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Myxotrichaceae","Oidiodendron","Oidiodendron sp","Probable","Dark Septate Endophyte","Ericoid Mycorrhizal","Probable"
"OTU_969","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon veenhuisii","Probable","NULL","Animal Pathogen","Probable"
"OTU_544","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_220","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_178","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Ascochyta","Ascochyta maackiae","Probable","NULL","Plant Pathogen","Probable"
"OTU_82","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_116","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys rosea f. catenulata","Probable","NULL","Plant Pathogen","Probable"
"OTU_1882","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_1862","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis angularis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_937","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora chaetospira","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_735","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_1748","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_345","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp olrim407","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_584","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_183","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon moniliiforme","Probable","NULL","Animal Pathogen","Probable"
"OTU_297","Fungi","Basidiomycota","Microbotryomycetes","unidentified","unidentified","unidentified","Microbotryomycetes sp","-","-","-","-"
"OTU_373","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella hyalina","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_341","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sp","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_909","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella exigua","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_147","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_279","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_1730","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sp","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_292","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_1966","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus terricola","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_781","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella schmuckeri","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_12","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Marasmius sp","Probable","Agaricoid","Undefined Saprotroph","Probable"
"OTU_1866","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella hyalina","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_121","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sporotrichioides","Possible","NULL","Endophyte-Plant Pathogen","Possible"
"OTU_1625","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_401","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","unidentified","Pleosporaceae sp","-","-","-","-"
"OTU_1019","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium sp","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_160","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_134","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_574","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_175","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_650","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium bialowiezense","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_390","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Calcarisporiella","Calcarisporiella sp","-","-","-","-"
"OTU_548","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon veenhuisii","Probable","NULL","Animal Pathogen","Probable"
"OTU_510","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_228","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_514","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","unidentified","Mycosphaerellaceae sp","-","-","-","-"
"OTU_843","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius rigens","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_808","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","unidentified","Mycosphaerellaceae sp","-","-","-","-"
"OTU_1636","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon veenhuisii","Probable","NULL","Animal Pathogen","Probable"
"OTU_387","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_668","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Cystodendron","Cystodendron sp EXP0561F","Probable","NULL","NULL","Probable"
"OTU_857","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma","Piloderma olivaceum","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_463","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","unidentified","Montagnulaceae sp","-","-","-","-"
"OTU_516","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_267","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Cordana","Cordana sp HRM_2012b","Probable","NULL","NULL","Probable"
"OTU_585","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius deceptivus","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_816","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","Wilcoxina rehmii","Highly Probable","Cup Fungus","Ectomycorrhizal","Highly Probable"
"OTU_157","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Pilidium","Pilidium sp","Probable","NULL","Plant Pathogen","Probable"
"OTU_96","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Stagonosporopsis","Stagonosporopsis ajacis","Probable","NULL","Plant Pathogen","Probable"
"OTU_986","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_101","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium dichromosporum","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_210","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_391","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium syriacum","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_1819","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces bicolor","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_58","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","unidentified","Ceratobasidiaceae sp","-","-","-","-"
"OTU_346","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium nodositatum","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_223","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unidentified","unidentified","Agaricales sp","-","-","-","-"
"OTU_158","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria macrospora","Probable","NULL","Plant Pathogen","Probable"
"OTU_43","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","Hirsutella rhossiliensis","Probable","NULL","Animal Pathogen","Probable"
"OTU_470","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_100","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","Galerina lubrica","Probable","Agaricoid","Undefined Saprotroph","Probable"
"OTU_362","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_558","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_102","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales sp","-","-","-","-"
"OTU_352","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita ibotengutake","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_1676","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus albidus","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_395","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_1009","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","unidentified","Helotiales sp","-","-","-","-"
"OTU_561","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unidentified","Nectriaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_1651","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_331","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_789","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_480","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","unidentified","unidentified","Trechisporales sp","-","-","-","-"
"OTU_244","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus quiescens","Highly Probable","Boletoid","Ectomycorrhizal","Highly Probable"
"OTU_617","Fungi","Basidiomycota","Agaricomycetes","Boletales","Gomphidiaceae","Chroogomphus","Chroogomphus vinicolor","Probable","NULL","Ectomycorrhizal-Mycoparasite","Probable"
"OTU_229","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Incertae sedis","Exidia","Exidia sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_363","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Aureobasidium","Aureobasidium pullulans","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_820","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces sp","-","-","-","-"
"OTU_272","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_644","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Lalaria","Lalaria inositophila","-","-","-","-"
"OTU_629","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Haptocillium","Haptocillium balanoides","Probable","NULL","Animal Pathogen","Probable"
"OTU_9","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Incertae sedis","Exidiopsis","Exidiopsis calcea","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_434","Fungi","Glomeromycota","unidentified","unidentified","unidentified","unidentified","Glomeromycota sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_372","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unidentified","Nectriaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_581","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_621","Fungi","Glomeromycota","unidentified","unidentified","unidentified","unidentified","Glomeromycota sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_99","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium loti","Probable","NULL","Plant Pathogen","Probable"
"OTU_472","Fungi","Ascomycota","Dothideomycetes","Hysteriales","Gloniaceae","Cenococcum","Cenococcum geophilum","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_291","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces sp","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_132","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus flavidus","Highly Probable","Boletoid","Ectomycorrhizal","Highly Probable"
"OTU_238","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","unidentified","Trichocomaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_414","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_733","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma","Piloderma sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_179","Fungi","Basidiomycota","Tremellomycetes","Tremellales","unidentified","unidentified","Tremellales sp","Possible","Tremelloid-Yeast","Mycoparasite-Undefined Saprotroph","Possible"
"OTU_130","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus oeirensis","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_162","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","unidentified","Amphisphaeriaceae sp","-","-","-","-"
"OTU_65","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Cryptococcus","Cryptococcus victoriae","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_402","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_87","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
