"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_410","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus indicum","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_640","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium aureum","Highly Probable","NULL","Wood Saprotroph","Highly Probable"
"OTU_216","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","unidentified","Herpotrichiellaceae sp","-","-","-","-"
"OTU_571","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Incertae sedis","Minimedusa","Minimedusa sp","-","-","-","-"
"OTU_413","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Incertae sedis","Minimedusa","Minimedusa sp","-","-","-","-"
"OTU_415","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota sp","Probable","Agaricoid","Soil Saprotroph","Probable"
"OTU_590","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium sp LLss3","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_557","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_1956","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_1722","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_245","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_485","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_587","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_478","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella paraensis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_747","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Myrothecium","Myrothecium sp REF176","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_589","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","unidentified","Ophiocordycipitaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
